address,balance_lamports,balance_sol,data_size
HubosniBa7R7NEoH7hkoUBNZvRuyto2SzSML4MAgU2dw,459248640,0.45924864,65856
HJr1Ef44knAZUYqq1YM7D6Fz4Hck4qZpJfBoPNtTL2RB,459248640,0.45924864,65856
FbXyEGQoc3kkpHUYsPvtdrLofdyuFd3YtwYpXhZfJMLa,459248640,0.45924864,65856
Hnd4kTVmSghn6D8anukRdUgjibETXJMvCDhjgZRqBbEq,459248640,0.45924864,65856
AfBNfda2MhCcAN2tYbempaBei9n1BhLiBst4oqGivmNA,459248640,0.45924864,65856
5ddMdM3JHXYqUnzAiuXZyqGKbkDPaqzf6c3mdP6GsVRa,459248640,0.45924864,65856
H9hF7KeLcYgLWXxuGXG13HquUqkpCZZrAgUDibiowE6a,459248640,0.45924864,65856
2tSc7CTkwUcRRGkWLCWNyWJYmtL18WmJanXbGqErz7ye,459248640,0.45924864,65856
NJAHiDXD5LY6V7yV7VysqhVRhReABupe1s7tMwJrfw7,459248640,0.45924864,65856
8HWSuFAGMh7s5pnCt5pSzJcahaX5wv7m4Sc8Y913P9HN,459248640,0.45924864,65856
CXuYNhQKnR1R8ST3G6NAkYb9474K2nQW1RmLRLJ2dNmL,459248640,0.45924864,65856
7aVnTQpkYQg8R1WSXcge48sxBzbp3sKiSsMQXdzCUWod,459248640,0.45924864,65856
DAuK22iTM4yXUNQUuzPE51qfdgpYcxGPeGScMN8yJSGJ,459248640,0.45924864,65856
AujGGMHx9xpwzkx26wLcZzaYruXfWv6ewdP8qzdbL7jo,459248640,0.45924864,65856
ERosFenZnSEf1PEYhEVNtQGyq7jfSnXmP4KRSTcNbFRp,459248640,0.45924864,65856
Gq3EHxemL1Jchv4GZTwm2ogeoE5kdsaGEVC2ErE7CguQ,459248640,0.45924864,65856
2uCck42EKFENn8ucWU3kT8DW2efe39dvLsuVPe1avXz9,459248640,0.45924864,65856
4mDQZ4BTLyE1HBeM84dMJUV5AcFfEq9P8jpEUK7Desqg,459248640,0.45924864,65856
EctRFfdxCVwSMbfuJFVjrG4Pbwg95EUvjrYo31YZUw6x,459248640,0.45924864,65856
HcWC1f68uk7PfWhuT2N59VVzxwQUoyJszK9FkJ7KiKFM,459248640,0.45924864,65856
6frrkDgcCXHjtbAm8PVdzmwTLziQ2mezfyeVprMnZdWe,459248640,0.45924864,65856
B5mybgg7giyzqZ591beMLFRgNNQYQJK9pYX8PrdTMegE,459248640,0.45924864,65856
DANTT6g7zmTAjyjJEUth1sexiAsosi2M2JBbx53Dnn9J,459248640,0.45924864,65856
AGMAh7EJzxpGhapj7Hp98Np8jn6Fy3LZUWPk5qWMezPB,459248640,0.45924864,65856
2P5cViptng8UfbQoFzQdDqUcqTQzP9nQZScxkpoRFCi2,459248640,0.45924864,65856
8s8V9M2GHFFycNbp1vaswvXEtB7DdQvd3UXVsLWTuYA4,459248640,0.45924864,65856
4TzUszLfj3CnBEefrFBDbCYDjThadYjxPhMLiNgLpFLe,459248640,0.45924864,65856
3h7ZZye5gndJ8DvrVr9pvpvuqsKqN17iwPEwML2UqVfm,459248640,0.45924864,65856
CcaVTAt3XHb3yp7ZUTMrLrpytG6dU17zJVqMAudTEZrR,459248640,0.45924864,65856
8Wb8Tap9hd692bK8attUuz9eMZonVQ2Ybs3t53BqCrQY,459248640,0.45924864,65856
3RaUdTNMa6aqkc8VTEsqKu3PGVjXFEgDttjbt9amAqCA,459248640,0.45924864,65856
